category,price,discount,quantity,payment_method,region,returned,total_amount,shipping_cost,profit_margin,customer_age,customer_gender,delivery_days,order_year,order_month,order_day_of_week
Electronics,1088.7,0.05,1,UPI,Central,0,1034.27,8.69,115.42,64,Female,4,2024,6,5
Fashion,24.88,0.15,1,Credit Card,South,0,21.15,3.55,3.85,23,Female,5,2024,8,3
Electronics,125.81,0.0,2,Debit Card,North,0,251.62,7.03,23.16,48,Female,4,2024,3,3
Home,20.31,0.0,1,COD,Central,0,20.31,3.38,2.31,48,Female,5,2024,4,4
Grocery,4.18,0.1,2,Debit Card,South,0,7.52,5.63,-5.03,55,Female,5,2024,9,3
Grocery,2.98,0.0,1,COD,West,0,2.98,2.88,-2.64,43,Male,4,2024,8,2
Grocery,1.39,0.1,2,COD,North,0,2.5,2.26,-2.06,55,Male,3,2025,6,1
Grocery,1.63,0.1,1,Wallet,East,0,1.47,2.96,-2.84,33,Male,7,2023,10,1
Electronics,281.42,0.05,2,COD,Central,0,534.7,10.03,54.13,44,Female,4,2024,7,4
Sports,130.98,0.1,1,COD,South,0,117.88,6.97,28.39,66,Male,5,2023,12,4
Fashion,206.08,0.05,1,Debit Card,West,0,195.78,7.05,61.47,40,Male,6,2025,1,4
Toys,5.33,0.0,5,PayPal,East,0,26.65,4.32,6.34,48,Female,7,2023,12,3
Toys,25.56,0.0,2,Debit Card,South,0,51.12,5.7,14.75,50,Female,4,2024,12,1
Home,116.31,0.2,2,Debit Card,Central,0,186.1,8.69,43.42,47,Female,3,2023,9,4
Home,95.63,0.05,3,Credit Card,East,0,272.55,8.6,67.71,21,Female,5,2025,1,0
Fashion,67.91,0.05,4,Credit Card,South,0,258.06,9.58,80.74,67,Male,7,2025,5,4
Fashion,18.41,0.0,1,Wallet,East,1,18.41,4.16,2.28,69,Female,5,2025,6,4
Grocery,5.91,0.1,1,Debit Card,South,0,5.32,0.54,-0.11,43,Other,6,2024,10,3
Grocery,7.39,0.0,1,UPI,West,0,7.39,2.02,-1.43,51,Female,4,2024,5,2
Fashion,14.9,0.0,2,Debit Card,East,0,29.8,6.44,3.99,35,Male,5,2025,2,5
Fashion,37.02,0.15,1,PayPal,North,1,31.47,6.48,4.53,38,Female,3,2023,11,2
Electronics,95.96,0.0,1,Credit Card,West,0,95.96,5.65,5.87,67,Male,4,2025,3,5
Grocery,6.04,0.0,1,Credit Card,North,0,6.04,1.71,-1.23,49,Female,3,2024,4,2
Grocery,2.58,0.0,1,Debit Card,West,0,2.58,0.91,-0.7,45,Male,5,2024,9,6
Beauty,3.9,0.05,1,Credit Card,Central,0,3.7,3.24,-1.58,64,Female,3,2024,10,1
Sports,53.15,0.0,1,UPI,East,0,53.15,4.29,11.65,59,Male,5,2024,1,0
Sports,104.51,0.1,1,COD,North,0,94.06,5.32,22.9,69,Male,3,2024,10,0
Fashion,13.1,0.0,1,PayPal,Central,0,13.1,4.04,0.54,52,Female,3,2025,1,3
Grocery,67.22,0.0,1,Wallet,West,0,67.22,5.06,0.32,18,Male,4,2023,11,2
Beauty,10.86,0.0,1,Debit Card,East,0,10.86,4.24,0.65,55,Female,5,2025,6,1
Electronics,57.46,0.0,1,Credit Card,East,0,57.46,8.73,-1.83,56,Male,6,2024,2,4
Home,13.74,0.0,1,COD,West,0,13.74,5.35,-1.5,56,Male,4,2024,4,5
Beauty,29.91,0.15,1,Debit Card,Central,0,25.42,5.37,6.07,54,Male,4,2025,8,6
Fashion,59.49,0.0,1,COD,East,0,59.49,6.62,14.2,41,Male,6,2025,2,0
Sports,239.12,0.0,1,Debit Card,East,0,239.12,6.54,65.2,37,Other,5,2024,11,4
Grocery,2.25,0.1,2,UPI,East,0,4.05,2.54,-2.22,43,Male,6,2024,4,6
Toys,11.29,0.15,1,PayPal,South,0,9.6,4.05,-0.21,27,Female,5,2025,3,6
Sports,226.4,0.0,1,Debit Card,East,0,226.4,8.21,59.71,59,Other,5,2025,5,6
Home,220.39,0.0,1,Debit Card,West,0,220.39,9.02,52.69,19,Male,5,2024,8,4
Fashion,18.07,0.0,1,UPI,South,0,18.07,5.39,0.93,47,Male,4,2023,9,1
Home,300.59,0.0,3,Credit Card,West,0,901.77,11.31,241.19,21,Male,5,2023,10,3
Fashion,61.15,0.0,1,PayPal,North,0,61.15,7.56,13.84,44,Female,3,2024,12,1
Grocery,5.04,0.05,3,UPI,North,0,14.36,4.11,-2.96,18,Male,6,2023,10,3
Grocery,1.6,0.0,1,Debit Card,North,0,1.6,1.19,-1.06,51,Female,3,2025,2,6
Electronics,273.62,0.05,1,COD,South,0,259.94,8.38,22.81,30,Female,6,2025,8,2
Toys,26.55,0.0,4,COD,East,0,106.2,6.03,36.45,25,Female,5,2023,10,2
Sports,40.76,0.0,2,Credit Card,North,0,81.52,5.17,19.29,37,Male,3,2025,3,6
Grocery,3.43,0.05,1,Credit Card,East,0,3.26,1.1,-0.84,57,Female,5,2023,11,0
Home,20.3,0.3,1,Credit Card,West,0,14.21,5.46,-1.48,24,Other,4,2024,6,6
Sports,191.46,0.0,1,Debit Card,North,0,191.46,10.81,46.63,25,Male,4,2024,12,5
Home,17.41,0.0,1,Credit Card,Central,0,17.41,2.83,2.04,62,Male,4,2025,9,2
Electronics,355.53,0.0,3,Debit Card,Central,0,1066.59,10.71,117.28,67,Female,4,2024,8,6
Electronics,518.23,0.0,1,Credit Card,South,0,518.23,9.28,52.91,63,Male,6,2024,10,5
Electronics,542.8,0.1,2,Credit Card,East,0,977.04,9.9,107.34,26,Female,8,2024,1,4
Fashion,57.14,0.0,2,COD,East,0,114.28,7.84,32.16,47,Male,5,2024,5,6
Fashion,57.01,0.0,1,Debit Card,South,0,57.01,6.21,13.74,25,Female,5,2024,4,3
Sports,73.19,0.15,1,Debit Card,West,0,62.21,6.94,11.72,43,Female,5,2024,12,2
Sports,63.01,0.0,1,UPI,Central,0,63.01,5.04,13.86,63,Male,5,2023,12,4
Grocery,2.95,0.05,4,UPI,West,0,11.21,3.31,-2.41,20,Female,4,2025,5,5
Fashion,42.69,0.0,2,Credit Card,North,0,85.38,5.99,23.89,39,Male,5,2024,11,2
Grocery,1.97,0.05,5,Credit Card,East,0,9.36,2.89,-2.14,68,Female,7,2025,6,6
Beauty,18.47,0.15,1,COD,South,0,15.7,2.23,4.83,32,Female,6,2025,4,2
Home,182.84,0.1,1,Debit Card,North,0,164.56,6.08,40.0,64,Female,3,2025,8,5
Sports,67.52,0.0,1,Debit Card,North,0,67.52,7.0,13.26,49,Male,5,2025,4,1
Sports,79.8,0.0,1,UPI,Central,0,79.8,6.68,17.26,29,Male,4,2024,6,6
Electronics,650.1,0.0,1,Debit Card,West,0,650.1,11.13,66.88,47,Female,5,2025,4,6
Sports,112.28,0.15,1,Credit Card,East,0,95.44,4.75,23.88,42,Male,8,2024,11,4
Sports,23.42,0.05,1,Debit Card,Central,0,22.25,4.63,2.04,24,Female,4,2025,4,2
Grocery,11.31,0.0,1,Credit Card,South,0,11.31,4.79,-3.89,54,Female,6,2025,6,0
Grocery,6.97,0.1,3,UPI,North,0,18.82,2.92,-1.41,33,Female,3,2024,9,2
Sports,32.79,0.0,1,Debit Card,West,0,32.79,4.99,4.85,47,Male,4,2024,11,5
Sports,112.66,0.05,1,UPI,West,0,107.03,6.75,25.36,51,Male,4,2024,6,6
Grocery,7.43,0.15,1,UPI,West,0,6.32,2.88,-2.37,66,Female,4,2024,12,3
Grocery,20.2,0.1,1,Debit Card,West,0,18.18,4.1,-2.65,40,Female,6,2024,8,3
Toys,19.37,0.1,1,PayPal,South,0,17.43,5.55,1.42,62,Male,5,2024,4,5
Toys,4.17,0.1,1,PayPal,West,0,3.75,1.71,-0.21,51,Female,5,2024,10,6
Electronics,190.18,0.0,1,Debit Card,Central,0,190.18,6.99,15.83,64,Male,3,2025,4,5
Toys,8.19,0.0,1,Debit Card,North,0,8.19,3.54,-0.26,58,Female,5,2024,10,4
Fashion,12.99,0.15,2,PayPal,West,0,22.08,5.09,2.64,48,Male,4,2023,12,5
Beauty,42.46,0.0,1,COD,South,0,42.46,5.83,13.28,33,Female,8,2024,11,0
Home,72.63,0.2,1,Debit Card,West,0,58.1,6.07,10.2,50,Female,4,2023,11,6
Fashion,51.71,0.0,1,PayPal,East,0,51.71,6.8,11.3,28,Female,5,2024,11,3
Fashion,110.08,0.05,1,Credit Card,North,0,104.58,6.62,29.98,28,Male,3,2025,9,3
Toys,17.4,0.0,1,Credit Card,South,0,17.4,4.61,2.35,59,Male,4,2025,4,4
Toys,7.87,0.3,1,Credit Card,North,0,5.51,2.58,-0.38,53,Female,4,2025,7,0
Beauty,41.32,0.0,1,COD,East,0,41.32,4.33,14.26,40,Female,5,2025,8,5
Sports,66.27,0.0,1,Credit Card,West,0,66.27,8.39,11.49,26,Male,4,2025,3,0
Grocery,11.92,0.1,2,Debit Card,West,0,21.46,5.32,-3.6,34,Female,4,2025,5,0
Home,315.95,0.0,1,Debit Card,North,0,315.95,7.66,80.81,52,Female,5,2024,12,1
Beauty,19.46,0.15,1,Credit Card,North,0,16.54,4.93,2.51,63,Male,3,2024,6,6
Beauty,12.98,0.0,1,Wallet,North,0,12.98,3.05,2.79,57,Male,5,2025,1,4
Grocery,18.11,0.2,1,Credit Card,West,0,14.49,3.61,-2.45,48,Male,5,2025,3,1
Fashion,12.05,0.0,4,UPI,Central,0,48.2,7.19,9.68,40,Female,5,2024,4,1
Grocery,33.26,0.3,1,UPI,East,0,23.28,4.81,-2.95,30,Male,6,2024,5,2
Fashion,126.52,0.0,1,COD,West,0,126.52,9.23,35.05,41,Female,7,2024,7,4
Electronics,331.48,0.0,1,Wallet,South,0,331.48,7.08,32.7,39,Male,5,2023,9,1
Fashion,13.24,0.0,1,Debit Card,Central,0,13.24,4.6,0.03,30,Female,3,2024,4,3
Home,89.22,0.0,2,PayPal,West,0,178.44,6.13,43.83,42,Female,5,2025,6,1
Sports,64.13,0.0,1,Debit Card,Central,1,64.13,7.04,12.2,59,Male,4,2024,9,2
Home,56.65,0.05,1,PayPal,Central,0,53.82,7.33,7.74,39,Female,4,2025,1,2
Home,35.34,0.05,1,Credit Card,West,0,33.57,5.03,4.37,41,Female,5,2024,6,3
Beauty,10.5,0.15,1,Credit Card,East,0,8.92,2.98,1.03,23,Female,6,2024,10,6
Toys,17.95,0.2,2,Credit Card,North,0,28.72,5.25,6.24,18,Male,3,2024,6,6
Toys,24.76,0.05,1,Debit Card,South,0,23.52,5.68,3.73,56,Male,4,2025,3,6
Sports,392.72,0.05,4,Debit Card,Central,0,1492.34,11.67,436.03,57,Male,4,2023,12,5
Grocery,4.2,0.15,3,Wallet,Central,0,10.71,3.85,-2.99,64,Male,8,2025,6,1
Beauty,8.59,0.0,1,Debit Card,North,0,8.59,2.71,1.16,58,Male,5,2024,12,0
Electronics,90.45,0.0,1,Credit Card,East,0,90.45,7.4,3.45,26,Male,6,2025,6,1
Fashion,142.51,0.05,1,Debit Card,North,0,135.38,5.9,41.48,51,Female,6,2024,8,5
Fashion,28.65,0.0,1,UPI,West,0,28.65,5.19,4.84,43,Female,6,2025,7,3
Beauty,66.13,0.0,4,Credit Card,East,1,264.52,9.13,109.9,21,Female,5,2024,7,5
Grocery,30.0,0.05,1,COD,Central,0,28.5,4.78,-2.5,29,Female,3,2025,6,1
Toys,2.88,0.2,4,COD,West,0,9.22,1.36,2.33,47,Male,6,2025,2,0
Fashion,21.14,0.15,1,Debit Card,West,0,17.97,5.79,0.5,58,Female,4,2024,11,1
Home,57.44,0.1,1,Debit Card,Central,0,51.7,5.15,9.33,48,Male,4,2024,11,4
Sports,41.94,0.0,1,UPI,North,0,41.94,3.91,8.67,53,Female,3,2025,1,3
Grocery,8.29,0.1,1,Credit Card,East,0,7.46,2.77,-2.17,59,Female,6,2024,1,2
Electronics,274.82,0.0,2,Debit Card,North,0,549.64,10.5,55.46,28,Female,4,2024,10,4
Home,196.92,0.1,1,Credit Card,South,0,177.23,7.56,42.06,48,Female,5,2023,9,2
Grocery,5.1,0.0,2,UPI,North,0,10.2,3.51,-2.69,61,Male,4,2024,2,6
Grocery,5.67,0.0,2,COD,South,0,11.34,3.69,-2.78,43,Female,7,2025,2,4
Fashion,49.88,0.0,1,Credit Card,South,0,49.88,6.85,10.61,30,Male,5,2024,11,2
Electronics,114.21,0.1,1,Debit Card,South,0,102.79,7.59,4.74,49,Male,6,2024,12,0
Beauty,18.7,0.05,1,UPI,South,0,17.76,1.98,6.01,35,Female,7,2024,6,2
Toys,7.68,0.0,1,Debit Card,East,0,7.68,2.84,0.23,69,Male,5,2023,10,5
Fashion,15.85,0.05,1,Debit Card,East,0,15.06,4.34,0.93,44,Female,5,2024,8,4
Grocery,21.91,0.1,1,UPI,Central,0,19.72,4.18,-2.6,37,Female,7,2024,11,1
Fashion,65.38,0.0,1,Debit Card,North,0,65.38,6.67,16.21,28,Male,4,2025,6,0
Beauty,10.04,0.0,3,Debit Card,North,0,30.12,4.75,8.8,24,Female,5,2024,10,6
Sports,62.75,0.0,1,Debit Card,North,0,62.75,6.26,12.56,36,Female,3,2024,12,6
Fashion,13.24,0.0,2,Debit Card,Central,0,26.48,5.87,3.4,25,Female,4,2025,8,1
Fashion,7.69,0.0,2,COD,East,0,15.38,4.6,0.78,68,Female,7,2025,5,3
Home,125.87,0.1,1,Wallet,South,0,113.28,5.51,26.21,45,Female,7,2025,3,6
Toys,10.89,0.1,3,Credit Card,North,0,29.4,6.92,4.84,39,Male,3,2024,8,4
Electronics,125.48,0.2,1,UPI,South,0,100.38,5.61,6.44,52,Male,6,2024,3,1
Beauty,5.98,0.0,1,Credit Card,North,0,5.98,1.43,1.26,52,Female,6,2024,9,6
Sports,122.05,0.05,3,UPI,North,0,347.84,8.94,95.41,63,Male,3,2024,4,0
Beauty,10.76,0.0,1,PayPal,Central,0,10.76,3.19,1.65,45,Female,7,2025,3,0
Grocery,32.33,0.05,1,COD,West,0,30.71,2.96,-0.5,55,Male,4,2025,4,0
Beauty,8.25,0.0,1,Debit Card,South,0,8.25,2.86,0.85,60,Female,5,2024,2,6
Beauty,9.85,0.0,1,Debit Card,Central,0,9.85,3.62,0.81,56,Female,4,2025,5,4
Beauty,49.76,0.0,1,Credit Card,South,0,49.76,4.88,17.51,19,Female,4,2025,6,4
Sports,93.55,0.05,1,Credit Card,North,0,88.87,5.72,20.94,44,Male,4,2024,8,3
Electronics,87.28,0.0,2,Credit Card,South,1,174.56,7.34,13.61,25,Female,5,2025,9,1
Grocery,11.5,0.0,1,Wallet,Central,0,11.5,2.89,-1.97,64,Female,4,2025,3,4
Electronics,169.72,0.1,1,Debit Card,East,0,152.75,8.58,9.75,46,Other,7,2024,4,4
Sports,141.31,0.05,1,Credit Card,West,0,134.24,9.72,30.55,19,Male,7,2024,8,1
Beauty,4.98,0.0,1,COD,North,0,4.98,3.29,-1.05,49,Female,3,2024,6,2
Fashion,127.9,0.05,1,Debit Card,South,0,121.5,7.1,35.42,67,Female,4,2025,5,1
Electronics,261.4,0.0,1,UPI,West,0,261.4,7.33,24.04,40,Female,6,2023,12,5
Electronics,480.73,0.3,1,UPI,West,0,336.51,7.5,32.88,68,Other,4,2024,4,5
Fashion,64.97,0.0,1,Debit Card,South,0,64.97,6.12,16.62,31,Male,5,2023,12,3
Grocery,3.58,0.2,1,COD,West,0,2.86,2.76,-2.53,66,Male,5,2024,5,4
Toys,43.71,0.0,1,Debit Card,West,0,43.71,6.79,10.69,25,Female,4,2023,10,3
Electronics,136.09,0.05,1,Debit Card,South,0,129.29,7.75,7.76,61,Female,6,2023,11,1
Fashion,15.39,0.0,1,UPI,North,0,15.39,3.09,2.3,20,Female,6,2023,12,2
Grocery,10.68,0.2,1,UPI,North,0,8.54,3.68,-3.0,42,Female,4,2024,9,0
Fashion,210.02,0.0,2,Credit Card,North,0,420.04,9.8,137.21,49,Female,4,2023,12,4
Grocery,5.95,0.0,1,UPI,South,0,5.95,1.42,-0.94,64,Male,4,2023,9,3
Fashion,169.06,0.0,1,UPI,North,0,169.06,5.65,53.52,37,Female,4,2025,6,5
Sports,66.16,0.15,1,Debit Card,South,0,56.24,6.81,10.06,23,Male,5,2025,3,3
Home,246.98,0.0,1,Debit Card,Central,0,246.98,9.86,59.29,60,Male,4,2023,11,1
Electronics,295.37,0.1,1,Debit Card,South,0,265.83,9.16,22.74,35,Female,5,2024,6,6
Fashion,16.3,0.0,1,Credit Card,North,0,16.3,5.87,-0.17,44,Female,4,2024,7,0
Sports,218.49,0.0,1,Debit Card,West,0,218.49,8.1,57.45,61,Female,7,2024,3,1
Fashion,8.67,0.3,4,Debit Card,West,0,24.28,4.69,3.81,23,Male,4,2024,10,1
Beauty,31.13,0.05,5,Wallet,East,0,147.87,3.64,62.9,28,Male,5,2025,7,2
Fashion,92.34,0.0,2,Credit Card,South,0,184.68,7.94,56.7,26,Male,4,2025,4,0
Home,244.89,0.0,1,COD,Central,0,244.89,9.62,58.95,20,Male,3,2025,3,3
Home,150.24,0.0,1,Wallet,North,0,150.24,9.39,32.68,27,Male,3,2025,1,1
Home,48.05,0.15,1,Debit Card,East,0,40.84,5.16,6.28,39,Male,5,2024,9,3
Fashion,42.3,0.05,3,COD,West,0,120.56,7.55,34.65,66,Male,6,2024,10,5
Home,140.74,0.05,1,UPI,North,0,133.7,6.78,30.66,56,Female,4,2024,5,1
Sports,226.78,0.0,3,COD,West,0,680.34,10.47,193.63,25,Male,5,2025,4,2
Grocery,3.29,0.05,1,COD,North,0,3.13,3.83,-3.58,21,Male,5,2024,3,3
Toys,14.3,0.0,1,Debit Card,North,0,14.3,3.46,2.26,27,Female,4,2025,2,2
Electronics,181.68,0.05,1,PayPal,East,0,172.6,6.8,13.91,22,Female,5,2025,6,0
Fashion,32.44,0.05,1,UPI,West,0,30.82,6.6,4.19,18,Male,5,2024,7,2
Electronics,115.71,0.05,2,PayPal,Central,0,219.85,7.24,19.14,28,Female,4,2023,10,5
Electronics,129.68,0.0,1,UPI,North,0,129.68,5.84,9.72,57,Male,4,2025,5,3
Fashion,77.23,0.0,1,UPI,Central,0,77.23,7.05,19.98,28,Female,3,2024,3,0
Fashion,37.0,0.2,1,Credit Card,North,0,29.6,5.86,4.5,66,Female,6,2024,4,1
Fashion,40.49,0.0,1,Credit Card,Central,0,40.49,6.33,7.84,58,Female,6,2024,1,2
Fashion,116.99,0.0,1,UPI,South,0,116.99,8.7,32.25,25,Female,4,2024,12,0
Fashion,18.49,0.15,2,UPI,North,0,31.43,5.21,5.79,68,Female,4,2025,3,4
Electronics,179.8,0.05,1,UPI,Central,0,170.81,7.55,12.95,69,Male,3,2025,8,3
Fashion,23.15,0.0,1,Credit Card,South,0,23.15,3.66,4.44,32,Female,4,2024,10,2
Sports,115.86,0.0,1,Debit Card,North,0,115.86,7.74,27.02,67,Female,5,2024,1,2
Fashion,45.64,0.1,1,UPI,East,0,41.08,4.77,9.61,51,Male,8,2023,12,6
Electronics,257.28,0.3,1,UPI,South,0,180.1,8.52,13.09,60,Female,6,2025,2,2
Electronics,408.34,0.05,1,Debit Card,North,0,387.92,9.3,37.25,47,Female,4,2025,2,2
Home,97.1,0.0,1,Credit Card,Central,0,97.1,6.2,20.99,35,Male,5,2024,9,6
Toys,35.29,0.1,1,Credit Card,Central,1,31.76,3.14,9.56,31,Male,3,2024,5,5
Electronics,221.61,0.1,2,PayPal,North,0,398.9,8.47,39.4,22,Male,4,2025,1,4
Beauty,57.21,0.15,1,Credit Card,Central,1,48.63,7.06,14.82,66,Female,3,2025,3,5
Sports,22.53,0.0,2,Credit Card,East,0,45.06,5.67,7.85,28,Male,5,2024,9,2
Beauty,5.42,0.0,2,UPI,North,0,10.84,4.5,0.38,32,Female,4,2024,9,4
Toys,22.97,0.0,2,UPI,South,0,45.94,6.55,11.83,34,Male,5,2025,5,6
Toys,11.71,0.0,1,COD,South,0,11.71,4.57,0.11,59,Female,4,2024,3,6
Electronics,247.69,0.0,1,Debit Card,East,0,247.69,8.38,21.34,21,Male,6,2024,8,1
Home,166.79,0.0,3,COD,South,0,500.37,9.96,130.14,49,Male,4,2025,3,3
Sports,33.75,0.1,1,Debit Card,North,0,30.38,4.07,5.04,57,Female,4,2025,5,5
Grocery,1.59,0.15,1,Debit Card,West,0,1.35,1.78,-1.67,24,Female,5,2024,11,4
Toys,13.36,0.2,1,COD,East,0,10.69,5.43,-1.15,32,Male,8,2025,7,1
Electronics,781.63,0.0,2,Debit Card,Central,0,1563.26,8.78,178.81,30,Male,3,2025,1,1
Fashion,34.46,0.05,5,Credit Card,South,1,163.68,7.53,49.76,44,Male,7,2025,2,1
Toys,18.69,0.0,1,Credit Card,West,0,18.69,2.97,4.51,40,Female,6,2024,3,3
Home,40.77,0.05,3,COD,North,0,116.19,8.82,23.71,18,Female,3,2024,2,1
Beauty,18.28,0.0,1,PayPal,South,0,18.28,4.19,4.04,28,Female,6,2023,9,0
Beauty,19.05,0.0,1,COD,East,0,19.05,5.24,3.33,58,Male,6,2025,1,6
Electronics,137.12,0.0,1,Wallet,West,0,137.12,8.57,7.88,19,Female,5,2024,11,3
Toys,5.52,0.0,3,Debit Card,West,0,16.56,4.32,2.3,68,Male,7,2025,6,3
Toys,10.48,0.0,1,COD,North,0,10.48,1.74,2.45,30,Male,4,2024,3,5
Home,15.22,0.0,2,Credit Card,East,0,30.44,4.67,3.85,31,Female,5,2025,2,0
Beauty,7.46,0.0,1,Credit Card,North,0,7.46,4.61,-1.25,34,Male,3,2024,6,1
Sports,139.25,0.1,1,Credit Card,Central,0,125.32,7.0,30.6,55,Female,4,2024,10,1
Fashion,56.49,0.15,4,Credit Card,West,0,192.07,8.24,58.98,62,Male,4,2024,1,0
Electronics,171.91,0.15,3,Debit Card,Central,0,438.37,6.94,45.66,38,Male,5,2025,3,6
Electronics,310.36,0.05,1,Credit Card,West,0,294.84,7.57,27.81,67,Female,4,2024,5,5
Grocery,24.28,0.0,1,PayPal,West,0,24.28,5.08,-3.14,52,Female,5,2024,3,4
Fashion,94.84,0.05,2,Credit Card,North,0,180.2,8.79,54.28,37,Male,6,2025,7,1
Electronics,395.28,0.0,1,COD,South,1,395.28,9.6,37.83,30,Female,4,2025,2,5
Home,27.44,0.0,1,Credit Card,West,0,27.44,5.63,2.05,56,Female,5,2024,12,1
Electronics,107.79,0.15,5,UPI,West,0,458.11,8.62,46.35,50,Female,5,2024,11,1
Electronics,162.08,0.0,1,Credit Card,West,0,162.08,9.09,10.36,49,Female,7,2025,5,3
Home,156.26,0.2,1,COD,Central,0,125.01,6.81,28.19,39,Female,3,2023,11,4
Home,49.29,0.0,1,Credit Card,Central,0,49.29,6.0,7.8,59,Female,3,2025,1,5
Beauty,18.3,0.0,1,COD,East,0,18.3,5.8,2.44,44,Other,6,2024,1,3
Sports,181.69,0.0,1,UPI,Central,0,181.69,7.07,47.44,67,Female,4,2025,4,0
Sports,228.65,0.15,1,Credit Card,West,0,194.35,6.97,51.33,25,Male,5,2024,11,6
Home,250.1,0.0,3,Credit Card,North,0,750.3,10.62,199.46,28,Male,4,2023,10,6
Sports,22.17,0.0,1,Debit Card,Central,0,22.17,4.93,1.72,41,Female,3,2024,2,6
Fashion,123.8,0.05,1,COD,North,0,117.61,7.62,33.54,58,Male,5,2025,7,1
Home,161.74,0.05,2,Credit Card,West,0,307.31,7.94,78.11,67,Male,4,2024,10,6
Home,136.98,0.0,1,PayPal,South,0,136.98,7.26,31.09,64,Female,6,2025,3,4
Fashion,18.98,0.0,1,Debit Card,South,0,18.98,5.07,1.57,41,Male,6,2024,2,2
Fashion,134.52,0.0,3,Credit Card,West,0,403.56,7.85,133.4,46,Male,5,2025,4,6
Electronics,55.69,0.05,1,Wallet,East,0,52.91,7.37,-1.02,56,Female,7,2025,2,6
Home,21.29,0.0,1,Credit Card,East,0,21.29,5.21,0.75,65,Male,7,2025,3,2
Beauty,7.09,0.15,1,Credit Card,West,0,6.03,2.83,-0.12,43,Female,5,2024,2,4
Fashion,63.24,0.05,3,Credit Card,East,0,180.23,8.77,54.31,60,Female,6,2024,4,0
Grocery,13.84,0.0,1,COD,East,0,13.84,5.52,-4.41,51,Female,7,2024,2,5
Beauty,73.92,0.0,1,PayPal,Central,0,73.92,5.46,27.8,33,Male,3,2024,10,5
Grocery,6.65,0.0,2,UPI,Central,0,13.3,2.95,-1.89,46,Male,5,2024,5,1
Beauty,13.46,0.0,1,PayPal,West,0,13.46,5.12,0.94,67,Male,5,2025,6,5
Fashion,59.44,0.15,1,Credit Card,Central,0,50.52,4.89,12.79,43,Female,3,2024,2,6
Grocery,3.52,0.05,1,COD,North,0,3.34,1.69,-1.42,57,Male,3,2025,2,6
Grocery,9.21,0.05,2,Credit Card,South,0,17.5,4.67,-3.27,54,Male,5,2024,5,6
Home,12.05,0.05,1,Credit Card,North,0,11.45,3.62,-0.41,19,Male,4,2025,5,4
Fashion,49.08,0.0,1,Credit Card,West,0,49.08,6.71,10.47,55,Male,5,2025,4,3
Fashion,80.34,0.0,2,Credit Card,West,0,160.68,7.23,49.01,58,Male,8,2024,4,1
Toys,6.48,0.0,3,Wallet,North,0,19.44,3.91,3.87,54,Male,3,2024,3,0
Electronics,169.27,0.1,3,Credit Card,Central,0,457.03,7.56,47.28,52,Female,3,2025,4,1
Beauty,6.46,0.0,2,Debit Card,North,0,12.92,3.55,2.26,37,Female,5,2025,6,1
Sports,104.03,0.0,1,Credit Card,East,0,104.03,6.8,24.41,26,Male,6,2023,10,1
Fashion,45.82,0.05,1,Debit Card,South,0,43.53,4.26,10.98,24,Female,4,2024,3,4
Sports,182.18,0.0,4,Debit Card,West,0,728.72,8.48,210.14,31,Female,7,2024,5,2
Sports,355.94,0.1,2,Credit Card,East,0,640.69,10.07,182.14,35,Female,5,2024,4,2
Fashion,207.23,0.0,1,Debit Card,South,0,207.23,6.16,66.37,57,Male,5,2024,12,1
Home,24.93,0.15,1,PayPal,West,0,21.19,5.48,0.45,58,Male,4,2025,7,1
Toys,17.84,0.0,1,PayPal,West,0,17.84,3.1,4.04,58,Male,4,2024,7,4
Beauty,41.2,0.05,2,Credit Card,West,0,78.28,5.3,29.93,68,Male,4,2024,1,1
Beauty,29.36,0.0,1,Credit Card,South,0,29.36,4.88,8.33,26,Female,5,2023,12,3
Home,309.26,0.0,2,Debit Card,Central,0,618.52,10.48,162.71,57,Female,3,2024,9,6
Electronics,239.44,0.2,1,UPI,East,0,191.55,7.78,15.21,43,Male,8,2024,8,5
Grocery,8.33,0.0,1,UPI,West,0,8.33,2.67,-2.0,18,Female,4,2025,7,6
Beauty,3.65,0.0,1,Credit Card,West,0,3.65,2.09,-0.45,27,Male,6,2025,8,4
Fashion,5.78,0.05,1,Credit Card,West,0,5.49,3.56,-1.64,66,Female,4,2024,2,0
Sports,126.01,0.2,1,Wallet,South,0,100.81,6.08,24.16,38,Male,7,2025,5,1
Beauty,18.62,0.05,1,Credit Card,South,0,17.69,4.7,3.26,49,Female,6,2024,5,4
Fashion,58.07,0.0,1,Debit Card,West,0,58.07,6.67,13.65,26,Female,4,2023,10,5
Toys,7.35,0.0,5,UPI,Central,0,36.75,6.75,7.95,37,Female,4,2025,7,1
Electronics,696.25,0.15,3,UPI,North,0,1775.44,11.85,201.2,24,Female,3,2025,3,6
Beauty,60.13,0.1,2,COD,South,0,108.23,6.1,42.6,63,Male,5,2024,7,4
Home,152.94,0.0,1,COD,North,0,152.94,5.18,37.64,43,Female,3,2025,6,6
Fashion,21.0,0.05,1,Credit Card,West,0,19.95,4.66,2.32,47,Female,4,2024,11,2
Toys,6.79,0.0,4,Credit Card,West,0,27.16,5.09,5.77,46,Male,4,2025,1,4
Sports,106.58,0.0,1,Debit Card,North,0,106.58,7.35,24.62,64,Female,5,2024,3,0
